,loglikelihood,perplexity
0,-0.5321214250639053,1.7025402918798656
1,-0.5228148398757396,1.6867689580807272
2,-0.5064250289120261,1.6593484559601488
3,-0.5044076571202338,1.656004307521869
4,-0.497183413902131,1.6440840389367288
5,-0.47320487449289717,1.6051301995277087
6,-0.4654765920752807,1.5927731110670424
7,-0.4689815508639365,1.5983655100198468
8,-0.45470676906777735,1.5757112680000618
9,-0.4523042611127887,1.5719301530420393
10,-0.45300804885813484,1.5730368476136487
11,-0.4425832529559133,1.5567234392468479
12,-0.44385650280735467,1.5587067995232466
13,-0.4428623963145485,1.5571580489125243
14,-0.42177082770569935,1.524659075024469
15,-0.41549708274138847,1.5151236953761953
16,-0.41387665115475986,1.5126705292133202
17,-0.4133904733509603,1.5119352811226885
18,-0.41166759952021037,1.509332650039328
19,-0.40131935777732197,1.4937942471430303
20,-0.40567509458035567,1.5003150127813407
21,-0.4049807258434622,1.4992736025441717
22,-0.40536880194201313,1.4998555477067081
23,-0.4021639672145546,1.4950564528218309
24,-0.3973505854036818,1.4878774667466967
25,-0.39760118532179983,1.4882503754415257
26,-0.3977020388720692,1.488400478344657
27,-0.3938852754329055,1.4827304333096547
28,-0.39308916324154053,1.4815504832838098
29,-0.38530345670340044,1.4700603534306746
30,-0.38270317426999384,1.466242746896258
31,-0.3764937736891483,1.457166466624581
32,-0.37733548510971854,1.4583934966113437
33,-0.3737148817742277,1.453122779598569
34,-0.36663730053110133,1.4428744943851792
35,-0.36830580081893355,1.4452839404160946
36,-0.3668474090780609,1.4431776864991515
37,-0.3660109563374255,1.4419710412892544
38,-0.3713312876426305,1.4496632493645591
39,-0.37284581712938636,1.4518604705597338
40,-0.37462875899149795,1.4544513623890463
41,-0.3679922930665917,1.4448309037154086
42,-0.3704325554555687,1.4483609756272726
43,-0.36687713507288844,1.4432205870292227
44,-0.3622135316711337,1.4365056486651413
45,-0.3580461085452166,1.4305315786892476
46,-0.36191134548472226,1.4360716220831344
47,-0.3549515523800491,1.4261115608968786
48,-0.360732876926665,1.4343802536374037
49,-0.34997078334444054,1.4190260887911357
50,-0.36512590296362707,1.440695384549663
51,-0.3704043429070113,1.4483201142493236
52,-0.36410697506083745,1.4392281674440897
53,-0.3601373554019389,1.4335263036197665
54,-0.36439062436969527,1.4396364614224888
55,-0.3602842210373269,1.4337368548321834
56,-0.35865855155804016,1.431407966100519
57,-0.35575205563130724,1.4272536248900165
58,-0.35421755235712543,1.425065179047618
59,-0.3584420910437096,1.4310981563279612
60,-0.35569982613515916,1.4271790820989962
61,-0.3534382159141514,1.4239550064751347
62,-0.3518627837287667,1.4217134281183694
63,-0.35110160159876186,1.4206316570275408
64,-0.3450660364138083,1.4120831654970636
65,-0.3376388196229156,1.4016341692140666
66,-0.33680292290248576,1.400463037349612
67,-0.34079392143338216,1.4060634514628516
68,-0.33800645178555444,1.4021495497443481
69,-0.33452825891613464,1.3972810748340885
70,-0.3337593624080751,1.3962071232266016
71,-0.33171698899971297,1.3933584569359159
72,-0.32836798694356545,1.3886999017083286
73,-0.33119625523486135,1.392633077022146
74,-0.3341502361201252,1.3967529705593849
75,-0.338001108509289,1.4021420576919545
76,-0.3347551238355346,1.397598104852645
77,-0.3366946397380201,1.4003113989902995
78,-0.33550885402765385,1.3986519138346543
79,-0.3315239529082157,1.393089514423975
80,-0.3344033044537376,1.397106489236417
81,-0.3335857964672749,1.3959648102529547
82,-0.3301060095608824,1.391115592200425
83,-0.3300897083112866,1.39109291546277
84,-0.3331472724822917,1.3953527804061578
85,-0.33552463551585976,1.3986739868175084
86,-0.33747392256841313,1.4014030629229703
87,-0.3342734007932064,1.3969250117768617
88,-0.33410344990004776,1.396687623296198
89,-0.3369872182426643,1.400721159946153
90,-0.33799686537220536,1.4021361082236152
91,-0.34094437123815124,1.4062750093486394
92,-0.3445092776770362,1.411297194675988
93,-0.34420634468315464,1.4108697309412517
94,-0.34508334597281815,1.4121076082454895
95,-0.3415705081451381,1.4071558057541582
96,-0.3390716513388855,1.4036439145755162
97,-0.338774487853373,1.40322686482649
98,-0.3395499210759937,1.404315395543247
99,-0.34136722045638884,1.4068697773767052
100,-0.34151814539590886,1.4070821251366517
101,-0.3406820926653715,1.405906221910887
102,-0.34107919098908096,1.4064646157761969
103,-0.34032479000230026,1.405403977605727
104,-0.34032479000230026,1.405403977605727
105,-0.34032479000230026,1.405403977605727
106,-0.34032479000230026,1.405403977605727
107,-0.34032479000230026,1.405403977605727
108,-0.34032479000230026,1.405403977605727
109,-0.34032479000230026,1.405403977605727
