,loglikelihood,perplexity
0,-0.31683597231788896,1.372777379965416
1,-0.3157773280194371,1.3713248660025406
2,-0.31560813973560675,1.3710928735276453
3,-0.3171515764474099,1.3732107025510478
4,-0.31713546495304673,1.3731885782527824
5,-0.3163313369025244,1.372084802646293
6,-0.31537953857376055,1.3707794759266505
7,-0.3163217142405805,1.372071599601603
8,-0.316183106396471,1.3718814328948215
9,-0.31939469694421196,1.3762944369252517
10,-0.31756121081384264,1.373773332075493
11,-0.3157134429815271,1.371237261659822
12,-0.3143110152135208,1.3693155482946076
13,-0.31055534558404585,1.364182496533509
14,-0.31439158723265603,1.3694258812579823
15,-0.31658027214772433,1.3724264054297972
16,-0.316522617833674,1.37234728140775
17,-0.321020454751988,1.3785337781719083
18,-0.32294273637241727,1.381186256905609
19,-0.32022062222894715,1.3774316228506087
20,-0.3266111677537013,1.3862623488687886
21,-0.326936895653914,1.386713966741107
22,-0.32794866663105376,1.3881177137017182
23,-0.32531494099540786,1.3844666026167767
24,-0.323781712549981,1.3823455255033008
25,-0.325340132168872,1.38450147939441
26,-0.32578381193178135,1.3851158909734482
27,-0.32303417752219693,1.3813125599395597
28,-0.3255985699779712,1.3848593331629195
29,-0.325677616634731,1.384968805989962
30,-0.3232993845793301,1.3816789423600166
31,-0.3237825686760158,1.3823467089658008
32,-0.32393588911779553,1.3825586672222638
33,-0.32803607006623586,1.388239045260653
34,-0.32761530619937573,1.3876550473030784
35,-0.3270141798732089,1.3868211419888363
36,-0.3253066826688639,1.384455169286693
37,-0.32196995543548546,1.3798433185428607
38,-0.3198180943215241,1.3768772797586117
39,-0.32225817389273625,1.3802410721725942
40,-0.32045683688465926,1.37775703081872
41,-0.3208192547488943,1.378256445072121
42,-0.3204377561697632,1.3777307424804197
43,-0.3208077413846778,1.378240576795034
44,-0.32329097617223934,1.3816673246898437
45,-0.3213370373979961,1.378970267131783
46,-0.3252611974840227,1.384392198519543
47,-0.32097608411709416,1.3784726131099245
48,-0.3212551130110187,1.3788573004654137
49,-0.3209316866702472,1.3784114138039105
50,-0.3215945895477237,1.379325469628113
51,-0.3241010200298845,1.382786989246992
52,-0.31932544252273715,1.3761991257506416
53,-0.31682155802174156,1.3727575924883282
54,-0.32198167571993896,1.3798594907938269
55,-0.31985597809346644,1.3769294420515168
56,-0.31281454326605124,1.3672679384668072
57,-0.3100716338739261,1.3635227850531426
58,-0.30882645197536135,1.3618260077803215
59,-0.30629903489687743,1.3583884513696034
60,-0.3088514614086689,1.361860066702935
61,-0.3074436779421974,1.3599442114884426
62,-0.3090123451492103,1.3620791854704108
63,-0.3097082466016165,1.3630273882434494
64,-0.3065418019774385,1.3587182634003423
65,-0.3083442854141279,1.3611695390934948
66,-0.3056332602611947,1.3574843717833005
67,-0.3084542421826364,1.3613192171263113
68,-0.308377050715147,1.361214138953841
69,-0.31211704748651725,1.3663146073610954
70,-0.3082059650800144,1.36098127468876
71,-0.3090227699599906,1.3620933849622008
72,-0.3090656767507444,1.3621518292718764
73,-0.3080771434732735,1.3608059621864719
74,-0.30583315553710055,1.357755753619406
75,-0.30648273974839807,1.3586380168408616
76,-0.30646420837616273,1.3586128396473232
77,-0.30620623852263334,1.3582624036949753
78,-0.3056643063027909,1.3575265169537902
79,-0.3056626470450623,1.3575242644692938
80,-0.3072026341670197,1.3596164449063084
81,-0.3058116683800023,1.357726579621661
82,-0.3055393922099154,1.3573569533510328
83,-0.3064034016115841,1.3585302293078885
84,-0.3068746704966956,1.3591706132190984
85,-0.30513797969311995,1.3568122026223934
86,-0.30580817796588844,1.3577218406019154
87,-0.30363360568444026,1.3547725841692653
88,-0.3035004724695735,1.35459223094549
89,-0.30420198516026276,1.3555428279751633
90,-0.3043113820626523,1.355691128273249
91,-0.3049084424272938,1.3565007993998535
92,-0.30468059282110777,1.356191756435915
93,-0.304120482830566,1.355432352578742
94,-0.3042151842508881,1.3555607200258755
95,-0.3035587553153863,1.3546711827363707
96,-0.3035587553153863,1.3546711827363707
97,-0.3035587553153863,1.3546711827363707
98,-0.3037689036908055,1.3549558945994697
99,-0.3041451344415331,1.3554657665816428
100,-0.3041451344415331,1.3554657665816428
101,-0.30468809122156393,1.3562019257429268
102,-0.30470202895289294,1.3562208282527244
103,-0.30470202895289294,1.3562208282527244
104,-0.30470202895289294,1.3562208282527244
105,-0.30470202895289294,1.3562208282527244
106,-0.30470202895289294,1.3562208282527244
107,-0.30470202895289294,1.3562208282527244
108,-0.3039583123949013,1.355212559346074
109,-0.3039583123949013,1.355212559346074
